"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","gdp_pc","X2019","is_island"
"DZA",302,21,2020-03-25,30,43053054,0.00701460110123663,0.000487770275251554,6.95364238410596,23.6,25.7,12,19.6,13.1,29.1,51.4,3973.964072,4.01,FALSE
"ECU",1962,60,2020-03-30,30,17373662,0.112929559697892,0.0034535033546756,3.05810397553517,50.1,53.9,71.2,39.5,35.2,43.5,57.1,6183.823825,6.33,FALSE
"EGY",109,2,2020-03-14,30,100388073,0.00108578635631346,1.99226854369443e-05,1.8348623853211,39.9,36.5,41.5,45,15.7,46.4,57.5,3019.205829,3.06,FALSE
"ERI",39,0,2020-04-19,30,NA,NA,NA,0,22.4,23.4,17.2,16,9.7,40,33.2,NA,2.37,FALSE
"ESP",84,0,2020-03-01,30,47076781,0.00178431911051862,0,0,65.9,52.9,83,61.9,59.6,61.1,77.1,29600.37825,8.29,FALSE
"EST",575,1,2020-03-27,30,1326590,0.433442133590635,0.000753812406244582,0.173913043478261,57,47.6,77.6,47,31.6,67.6,73.3,23723.30611,7.9,FALSE
"ETH",69,3,2020-04-11,30,112078730,0.000615638667568771,2.67668985899465e-05,4.34782608695652,40.6,36.8,33.7,44.7,29,65.8,33.6,855.7608623,3.44,FALSE
"FIN",2,0,2020-02-27,30,5520314,0.000362298231586102,0,0,68.7,68.5,61.6,69.2,60.8,75.4,81.1,48782.78848,9.25,FALSE
"FJI",17,0,2020-04-17,30,889953,0.0191021323597988,0,0,25.7,24.6,16.4,28.3,7.5,27.4,59.1,6175.88872,5.85,TRUE
"FRA",12,1,2020-02-22,30,67059887,0.000178944530580554,1.49120442150462e-05,8.33333333333333,68.2,71.2,75.3,62.9,60.9,58.6,83,40493.92857,8.12,FALSE
"GAB",49,1,2020-04-12,30,2172579,0.0225538403896935,0.000460282456932521,2.04081632653061,20,10.8,6.1,20.6,11.2,36.5,42.8,7767.013404,3.61,FALSE
"GBR",61,0,2020-02-29,30,66834405,0.000912703569366706,0,0,77.9,68.3,87.3,91.9,59.8,81.2,74.7,42330.11754,8.52,TRUE
"GEO",79,0,2020-03-26,30,3720382,0.02123437862026,0,0,52,53.2,75,37.1,38.3,56,51.4,4697.704576,5.42,FALSE
"GHA",566,8,2020-04-12,30,30417856,0.0186074915996709,0.000263003414836338,1.41342756183746,35.5,32.2,40.5,31.5,23.4,38,51,2202.115567,6.63,FALSE
"GIN",250,0,2020-04-11,30,12771246,0.0195752239053261,0,0,32.7,27,57.2,23,8,47.8,31.3,962.8399086,3.14,FALSE
"GMB",9,1,2020-04-15,30,2347706,0.00383352941126359,0.000425947712362621,11.1111111111111,34.2,22,36.9,34.2,23.5,44.2,47.3,777.8119321,4.33,FALSE
"GNB",50,0,2020-04-23,30,1920922,0.0260291672436465,0,0,20,14,23.4,17.8,4.6,37.6,24.1,697.2949269,2.63,FALSE
"GNQ",21,0,2020-04-13,30,1355986,0.0154868855578155,0,0,16.2,1.9,4.4,17.6,5,33.5,43.6,8131.923888,1.92,FALSE
"GRC",892,26,2020-03-26,30,10716322,0.0832375137663837,0.00242620555821298,2.91479820627803,53.8,54.2,78.4,44,37.6,49.1,58.2,19582.53598,7.43,FALSE
"GRD",14,0,2020-04-20,30,112003,0.124996651875396,0,0,27.5,8.6,18.6,28.4,10.3,46.4,62.9,10808.67212,NA,TRUE
"GTM",155,5,2020-04-12,30,16604026,0.00933508535821373,0.00030113178574883,3.2258064516129,32.7,21.2,50,25,11.4,42.2,49.1,4619.985258,5.26,FALSE
"GUY",37,6,2020-04-10,30,782766,0.0472682768541301,0.00766512597634542,16.2162162162162,31.7,27.9,20.3,36.2,12.3,49.3,50.5,6609.586425,6.15,FALSE
