"country_code","Cases","Deaths","clean_date","day_since_first_case","pop_2019","casepc","deathpc","cfratio","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment"
"UZB",2612,11,2020-05-13,60,33580650,0.0777828898487671,0.000327569597372296,0.421133231240429,34.3,42.6,19.4,27.8,16,60.5,47.8
"VAT",11,0,2020-05-04,60,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"VCT",17,0,2020-05-12,60,110589,0.153722341281683,0,0,33,20,20.6,29.2,19,58,61.7
"VEN",423,10,2020-05-12,60,28515829,0.0148338664816653,0.000350682422734405,2.36406619385343,23,23.5,8.7,19.7,12.9,42.2,38.2
"VNM",113,0,2020-03-22,60,96462106,0.00117144446338337,0,0,49.1,49.5,57.4,43,28.3,64.6,53.4
"VUT",1,0,2021-01-08,60,299882,0.00333464496035107,0,0,26.1,24.5,15,24.8,6.6,38,57.4
"WSM",2,0,2021-01-16,60,197097,0.0101472878836309,0,0,26.4,20.2,14.1,28.9,9.2,30.7,66.1
"YEM",496,112,2020-06-08,60,29161922,0.0170084811282329,0.0038406247708913,22.5806451612903,18.5,15.1,9,19,7.6,40.3,23.5
"ZAF",6783,131,2020-05-03,60,58558270,0.115833340021828,0.00223708794675799,1.9312988353236,54.8,44.8,81.5,57.7,33,46.3,61.8
"ZMB",679,7,2020-05-16,60,17861030,0.0380157247370392,0.000391914688010714,1.03092783505155,28.7,24.5,21.9,28.6,20.3,38,44.2
"ZWE",46,4,2020-05-18,60,14645468,0.00314090338390006,0.000273122033382614,8.69565217391304,38.2,31.4,65.6,30.1,14.7,45.9,39.2
