"","country_code","date","cases","deaths","overall","prev_emergence_pathogens","early_detection","rapid_response","robust_health_sector","commitments","risk_environment","pop_2019","is_island","cases_per_capita","deaths_per_capita","case_fatality_ratio"
"70","GRD",2020-12-31,127,0,27.5,8.6,18.6,28.4,10.3,46.4,62.9,112003000,TRUE,1.13389819915538e-06,0,Inf
"71","GTM",2020-12-31,138012,4813,32.7,21.2,50,25,11.4,42.2,49.1,16604026000,FALSE,8.3119600029535e-06,2.89869456961824e-07,28.6748389777685
"72","GUY",2020-12-31,6332,164,31.7,27.9,20.3,36.2,12.3,49.3,50.5,782766000,FALSE,8.08926294703654e-06,2.09513443353442e-07,38.609756097561
"73","HND",2020-12-31,121827,3130,27.6,21.6,27.7,26.5,12,41.8,39.5,9746117000,FALSE,1.2500055150169e-05,3.21153542482611e-07,38.9223642172524
"74","HRV",2020-12-31,210837,3920,53.3,55.2,72.3,32.4,46.5,49.1,68.2,4067500000,FALSE,5.18345421020283e-05,9.63736939151813e-07,53.7849489795918
"75","HTI",2020-12-31,9999,236,31.5,31.5,48.3,21.1,10.6,48.4,28.9,11263077000,TRUE,8.87768058408906e-07,2.09534215206022e-08,42.3686440677966
"76","HUN",2020-12-31,322514,9537,54,56.4,55.5,52.2,36.6,58.9,68.2,9769949000,FALSE,3.30108171496085e-05,9.76156579732402e-07,33.8171332704205
"77","IDN",2020-12-31,743198,22138,56.6,50.2,68.1,54.3,39.4,72.5,53.7,270625568000,TRUE,2.74622241162372e-06,8.18030615643826e-08,33.5711446381787
"78","IND",2020-12-31,10266674,148738,46.5,34.9,47.4,52.4,42.7,47.7,54.4,1366417754000,FALSE,7.51356894327941e-06,1.08852508366925e-07,69.0252255644153
"79","IRL",2020-12-31,91779,2237,59,63.9,78,45.1,40.2,52.8,77.4,4941444000,TRUE,1.85733158161865e-05,4.52701679913807e-07,41.0277156906571
"80","IRN",2020-12-31,1225142,55223,37.7,44.7,37.7,33.7,34.6,28.7,50.3,82913906000,FALSE,1.47760738711309e-05,6.66028205208424e-07,22.1853575502961
"81","IRQ",2020-12-31,595291,12813,25.8,22.1,42.2,19.5,11.8,29.5,29.2,39309783000,FALSE,1.51435839775559e-05,3.25949395345174e-07,46.4599235151799
"82","ISL",2020-12-31,5754,29,46.3,35.3,37.2,44,46.4,43.2,81.2,361313000,TRUE,1.59252504061575e-05,8.02628192176866e-08,198.413793103448
"83","ISR",2020-12-31,423262,3325,47.3,44,52.4,39.9,42.2,41.5,68.8,9053300000,FALSE,4.6752233992025e-05,3.6726939348083e-07,127.296842105263
"84","ITA",2020-12-31,2107166,74159,56.2,47.5,78.5,47.5,36.8,61.9,65.5,60297396000,FALSE,3.49462189047102e-05,1.22988727407067e-06,28.4141641607897
"85","JAM",2020-12-31,12827,302,29,20.1,24.3,24.7,10,43.1,61.2,2948279000,TRUE,4.35067373203147e-06,1.02432639516138e-07,42.4735099337748
"86","JOR",2020-12-31,294494,3834,42.1,31.8,42.9,47.8,27.8,48.6,55.8,10101694000,FALSE,2.91529321715744e-05,3.79540302844256e-07,76.811163275952
"87","JPN",2020-12-31,235811,3292,59.8,49.3,70.1,53.6,46.6,70,71.7,126264931000,TRUE,1.86758902992629e-06,2.60721640912313e-08,71.6315309842041
"88","KAZ",2020-12-31,201196,2761,40.7,58.8,28.2,26.6,28,52.8,59.5,18513930000,FALSE,1.08672766938192e-05,1.49130951667204e-07,72.8706990220934
"89","KEN",2020-12-31,96458,1670,47.1,45.9,68.6,37.1,20.7,67.1,40.7,52573973000,FALSE,1.83471011407108e-06,3.17647669503692e-08,57.7592814371257
"90","KGZ",2020-12-31,81034,1355,49.3,29.7,64.7,49.9,29.8,64.8,56.1,6456900000,FALSE,1.25499852870573e-05,2.09853025445647e-07,59.8036900369004
"91","KHM",2020-12-31,378,0,39.2,28.6,57.7,36.7,12,60,38.5,16486542000,FALSE,2.29277916496983e-08,0,Inf
"92","KNA",2020-12-31,32,0,26.2,8.7,15,26.2,7.1,46.4,64.8,52834000,TRUE,6.0567059090737e-07,0,Inf
"93","KOR",2020-12-31,61769,917,70.2,57.3,92.1,71.5,58.7,64.3,74.1,51709098000,FALSE,1.19454800777998e-06,1.77338231658963e-08,67.3598691384951
"94","KWT",2020-12-31,150584,934,46.1,40.9,47.5,50.2,36.5,42.2,61.5,4207083000,FALSE,3.57929710443079e-05,2.22006554184931e-07,161.224839400428
"95","LAO",2020-12-31,41,0,43.1,18.9,70.4,52,19.4,45.9,46.8,7169455000,FALSE,5.71870525723364e-09,0,Inf
"96","LBN",2020-12-31,181503,1468,43.1,27.3,62,47.9,23.8,49.3,45.5,6855713000,FALSE,2.64747080281803e-05,2.14127983478888e-07,123.639645776567
"97","LBR",2020-12-31,1779,83,35.1,14.3,29.1,40.5,19.9,71.5,37.4,4937374000,FALSE,3.60312992291044e-07,1.68105555706333e-08,21.433734939759
"98","LBY",2020-12-31,100277,1478,25.7,23.2,36,18.9,9.1,31,39,6777452000,FALSE,1.47956783758852e-05,2.18076055721236e-07,67.8464140730717
"99","LCA",2020-12-31,353,5,35.3,22.8,30.3,42.4,6.3,54.7,62.1,182790000,TRUE,1.9311778543684e-06,2.73537939712238e-08,70.6
"100","LIE",2020-12-31,2136,39,43.5,43.1,22.9,34.6,31.1,56.9,87.9,38019000,FALSE,5.61824350982404e-05,1.02580288802967e-06,54.7692307692308
"101","LKA",2020-12-31,43299,204,33.9,24.2,43,26.4,16.9,41.7,56.7,2.1803e+10,TRUE,1.98591936889419e-06,9.35651057193964e-09,212.25
"102","LSO",2020-12-31,3094,51,30.2,24.4,18,33.2,20.6,45.9,44.5,2125268000,FALSE,1.4558163958616e-06,2.39969735581583e-08,60.6666666666667
"103","LTU",2020-12-31,140579,1458,55,43.5,81.5,33.9,34.4,72.1,67.8,2786844000,FALSE,5.04437995094092e-05,5.23172448834596e-07,96.4190672153635
"104","LUX",2020-12-31,46415,495,43.8,31,41.7,27.3,37.9,52.8,84.7,619896000,FALSE,7.48754629808871e-05,7.98521042239343e-07,93.7676767676768
"105","LVA",2020-12-31,40904,635,62.9,56,97.3,54.7,47.3,51.1,67.2,1912789000,FALSE,2.13844809856184e-05,3.31975978531872e-07,64.4157480314961
"106","MAR",2020-12-31,439193,7388,43.7,34.6,56.8,51.5,29.5,32.7,55.9,36471769000,FALSE,1.20419988402537e-05,2.02567635257835e-07,59.4468056307526
"107","MCO",2020-12-31,875,3,32.7,11.1,23.3,26,31,35.3,83.1,38964000,FALSE,2.24566266297095e-05,7.69941484447182e-08,291.666666666667
"108","MDA",2020-12-31,144818,2985,42.9,46.5,42.9,31.1,36.4,56.7,47.1,2657637000,FALSE,5.44912642320979e-05,1.12317822185648e-06,48.515242881072
"109","MDG",2020-12-31,17714,261,40.1,30.1,41.9,57.8,19.2,55.4,32.4,26969307000,TRUE,6.56820733287659e-07,9.67766802461776e-09,67.8697318007663
"110","MDV",2020-12-31,13757,48,33.8,21.8,25.5,40.2,18.1,45.5,58.3,530953000,TRUE,2.59100146340637e-05,9.04034820407833e-08,286.604166666667
"111","MEX",2020-12-31,1426094,125807,57.6,45.5,71.2,50.8,46.9,73.9,57,127575529000,FALSE,1.11784290543683e-05,9.86137396302703e-07,11.3355695629019
"112","MHL",2020-12-31,4,0,18.2,7,4.4,18.1,7.2,30.7,52.3,58791000,TRUE,6.8037624806518e-08,0,Inf
"113","MKD",2020-12-31,83329,2503,39.1,37,41.7,33.1,25.4,44.8,57.7,2083459000,FALSE,3.99955074709893e-05,1.20136753351038e-06,33.291650019976
"114","MLI",2020-12-31,7090,269,29,23.4,25.5,29.5,13,53.2,32.1,19658031000,FALSE,3.60666843998771e-07,1.36839747582044e-08,26.3568773234201
"115","MLT",2020-12-31,12774,219,37.3,35,32.9,22.4,23.6,49.1,72.3,502653000,TRUE,2.54131577847939e-05,4.35688238208068e-07,58.3287671232877
"116","MMR",2020-12-31,124630,2682,43.4,30.3,59.2,50.4,19.5,59.1,38.2,54045420000,FALSE,2.30602334110828e-06,4.96249265895241e-08,46.469052945563
"117","MNE",2020-12-31,48247,682,43.7,36.5,55.4,32.1,29.5,53.5,58.8,622137000,FALSE,7.75504430696133e-05,1.09622157177599e-06,70.7434017595308
"118","MNG",2020-12-31,1220,1,49.5,37.6,77.3,37.8,30.8,52.6,60.8,3225167000,FALSE,3.78274985450366e-07,3.10061463483906e-10,1220
"119","MOZ",2020-12-31,18642,166,28.1,26.5,29.3,18.2,17,43.8,38.4,30366036000,FALSE,6.13909566596048e-07,5.4666338405184e-09,112.301204819277
"120","MRT",2020-12-31,14364,347,27.5,9.9,39.5,24.2,17,36.3,39.5,4525696000,FALSE,3.17387646010691e-06,7.66732895890488e-08,41.3948126801153
"121","MUS",2020-12-31,527,10,34.9,27.3,42.3,34.9,15.1,29.1,66.2,1265711000,TRUE,4.16366769349401e-07,7.90069771061482e-09,52.7
"122","MWI",2020-12-31,6583,189,28,25.5,23.3,20.7,15.3,50.7,37.6,18628747000,FALSE,3.53378571301655e-07,1.01456099006552e-08,34.8306878306878
"123","MYS",2020-12-31,113010,471,62.2,51.4,73.2,61.3,57.1,58.5,72,31949777000,FALSE,3.5371138897151e-06,1.4741886930854e-08,239.936305732484
"124","NAM",2020-12-31,23941,205,35.6,32,46,30.9,10.1,44.2,54.7,2494530000,FALSE,9.59739910925104e-06,8.21798094230176e-08,116.785365853659
