"country","overall","country.1","prev_emergence_pathogens","country.2","early_detection","country.3","rapid_response","country.4","robust_health_sector","country.5","commitments","country.6","risk_environment","country_code"
"Lesotho",30.2,"Suriname",23.3,"Tajikistan",24.1,"Honduras",26.5,"Guyana",12.3,"Eritrea",40,"Equatorial Guinea",43.6,"LSO"
"Liberia",35.1,"Cameroon",28.2,"Libya",36,"Lesotho",33.2,"Myanmar",19.5,"Bahamas",46,"Suriname",52.7,"LBR"
"Libya",25.7,"Central African Republic",18,"Vanuatu",15,"Niue",21.8,"Samoa",9.2,"São Tomé and Príncipe",33.5,"Togo",37.6,"LBY"
"Liechtenstein",43.5,"Philippines",38.5,"Slovakia",46,"Bahrain",43.2,"Montenegro",29.5,"Slovakia",52.8,"Saudi Arabia",59.7,"LIE"
"Lithuania",55,"Portugal",52.8,"Mexico",71.2,"Hungary",52.2,"Brazil",45,"Spain",61.1,"Malaysia",72,"LTU"
"Luxembourg",43.8,"Cuba",41.4,"India",47.4,"Iceland",44,"Liechtenstein",31.1,"Ireland",52.8,"Bahamas",61.4,"LUX"
"Madagascar",40.1,"India",34.9,"Mauritius",42.3,"Tunisia",39.1,"Costa Rica",24.8,"Serbia",49.7,"Vanuatu",57.4,"MDG"
"Malawi",28,"Maldives",21.8,"St Vincent and The Grenadines",20.6,"Guatemala",25,"Palau",11.5,"Guinea-Bissau",37.6,"Nicaragua",41,"MWI"
"Malaysia",62.2,"Austria",57.4,"Ireland",78,"Chile",60.2,"Argentina",54.9,"Switzerland",65.6,"Australia",79.4,"MYS"
"Maldives",33.8,"Tajikistan",26.7,"Burkina Faso",33.3,"Bahamas",30.9,"Mozambique",17,"Suriname",44.8,"Cook Islands",50.5,"MDV"
"Mali",29,"San Marino",22.3,"Liechtenstein",22.9,"Cuba",25.9,"Tuvalu",12,"Rwanda",38,"Côte d'Ivoire",42.7,"MLI"
"Malta",37.3,"Sudan",31.8,"Ghana",40.5,"Romania",35.3,"United Arab Emirates",22.9,"Haiti",48.4,"Jordan",55.8,"MLT"
"Marshall Islands",18.2,"Solomon Islands",8.4,"Marshall Islands",4.4,"Equatorial Guinea",17.6,"Benin",5.6,"North Korea",27.3,"Afghanistan",23.3,"MHL"
"Mauritania",27.5,"Samoa",20.2,"Barbados",19.1,"South Sudan",24.3,"Haiti",10.6,"Mauritania",36.3,"Zimbabwe",39.2,"MRT"
"Mauritius",34.9,"Cabo Verde",27.9,"Senegal",35.1,"Saudi Arabia",32.6,"St Vincent and The Grenadines",19,"Laos",45.9,"Georgia",51.4,"MUS"
"Mexico",57.6,"Greece",54.2,"Austria",73.2,"Germany",54.8,"Iceland",46.4,"Denmark",62.6,"Czech Republic",74,"MEX"
"Micronesia",32.8,"Algeria",25.7,"Qatar",32.7,"Togo",30.4,"San Marino",16.2,"Namibia",44.2,"Iran",50.3,"FSM"
"Moldova",42.9,"Bosnia and Herzegovina",36.7,"Nigeria",44.6,"Bhutan",42,"Bhutan",27.9,"Chile",51.5,"Tuvalu",58.7,"MDA"
"Monaco",32.7,"Burundi",25.1,"Brunei",30.5,"Côte d'Ivoire",29.7,"Uzbekistan",16,"Ecuador",43.5,"eSwatini (Swaziland)",48.9,"MCO"
"Mongolia",49.5,"Moldova",46.5,"Armenia",60.8,"Turkey",49,"Georgia",38.3,"St Vincent and The Grenadines",58,"Lithuania",67.8,"MNG"
"Montenegro",43.7,"Kuwait",40.9,"Togo",46.8,"Nigeria",43.8,"Monaco",31,"Kazakhstan",52.8,"Jamaica",61.2,"MNE"
"Morocco",43.7,"Panama",40.5,"Serbia",46.2,"Philippines",43.8,"Mongolia",30.8,"Luxembourg",52.8,"Mongolia",60.8,"MAR"
"Mozambique",28.1,"Gambia",22,"Somalia",21.5,"Tonga",25.1,"Uganda",11.6,"Burundi",37.6,"Timor-Leste",41.5,"MOZ"
"Myanmar",43.4,"Ukraine",38.1,"Bahrain",45.8,"Trinidad and Tobago",43.2,"Morocco",29.5,"Mongolia",52.6,"Kazakhstan",59.5,"MMR"
"Namibia",35.6,"Azerbaijan",30.8,"Iceland",37.2,"Gambia",34.2,"Lesotho",20.6,"Egypt",46.4,"Azerbaijan",54.2,"NAM"
