country,overall,country,prev_emergence_pathogens,country,early_detection,country,rapid_response,country,robust_health_sector,country,commitments,country,risk_environment
Israel,47.3,Bolivia,44,Costa Rica,56,Dominican Republic,47.3,Italy,36.8,Oman,56,Romania,65.7
Kenya,47.1,Israel,44,Hungary,55.5,Suriname,47.3,Romania,36.7,Madagascar,55.4,Italy,65.5
United Arab Emirates,46.7,Uruguay,44,Montenegro,55.4,Estonia,47,Hungary,36.6,Tanzania,55.4,Antigua and Barbuda,65.2
India,46.5,Albania,43.8,Bulgaria,53.3,Belarus,46.6,Kuwait,36.5,Antigua and Barbuda,55.1,St Kitts and Nevis,64.8
Iceland,46.3,Nepal,43.7,Israel,52.4,Central African Republic,46.6,Moldova,36.4,Trinidad and Tobago,55.1,China,64.4
Kuwait,46.1,Lithuania,43.5,Bangladesh,50.9,Czech Republic,46.6,Albania,35.9,Ukraine,55.1,Trinidad and Tobago,64.4
Romania,45.8,Peru,43.2,Czech Republic,50.7,Panama,46.4,Ecuador,35.2,St Lucia,54.7,Panama,63.8
Bulgaria,45.6,Liechtenstein,43.1,Portugal,50.5,Senegal,45.4,Panama,35.1,Benin,53.6,Grenada,62.9
Costa Rica,45.1,Russia,42.9,Uganda,50.3,Ireland,45.1,Iran,34.6,Côte d'Ivoire,53.6,Botswana,62.4
Russia,44.3,Uganda,42.7,Guatemala,50,Egypt,45,Lithuania,34.4,Montenegro,53.5,St Lucia,62.1
Uganda,44.3,Uzbekistan,42.6,China,48.5,Sierra Leone,44.8,Colombia,34.3,Mali,53.2,South Africa,61.8
Colombia,44.2,Nicaragua,41.7,Haiti,48.3,Ethiopia,44.7,South Africa,33,Albania,53,St Vincent and The Grenadines,61.7
El Salvador,44.2,Argentina,41.4,Kuwait,47.5,Greece,44,Estonia,31.6,Austria,52.8,Kuwait,61.5
Luxembourg,43.8,Cuba,41.4,India,47.4,Iceland,44,Liechtenstein,31.1,Ireland,52.8,Bahamas,61.4
Montenegro,43.7,Kuwait,40.9,Togo,46.8,Nigeria,43.8,Monaco,31,Kazakhstan,52.8,Jamaica,61.2
Morocco,43.7,Panama,40.5,Serbia,46.2,Philippines,43.8,Mongolia,30.8,Luxembourg,52.8,Mongolia,60.8
